gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4981687972	ea410929-015a-4093-9c7e-7be2482668c9	NAW:BIOGEOnet:3515721	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus sylvestris	sylvestris	VARIETY	Malus sylvestris var. sylvestris	Malus sylvestris sylvestris (L.) Mill.	(L.) Mill.	BE		Liège	PRESENT		1102ee7c-bf91-4a5a-9313-eff7e7681e0d	50.340949	5.901159			300.0	0.0			2023-06-19	19	6	2023	7219723	3001509	HUMAN_OBSERVATION	NAW		3515721		Anne PHILIPPE		CC_BY_4_0	Natagriwal - Belgium	Anne PHILIPPE			2026-03-01T11:24:51.037Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4942273808	5d859845-6734-4a30-bd1c-9d278f0e0e40	b7e72e0a-12de-48b5-a4c0-673aa7fc63cf	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus sylvestris	sylvestris	VARIETY	Malus sylvestris var. sylvestris	Malus sylvestris var. sylvestris (L.) Mill.	(L.) Mill.	PT		Tr�s-os-Montes	PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a	41.564332	-6.649336	5.0	1.0E-5					2020-06		6	2020	7219723	3001509	PRESERVED_SPECIMEN	CIBIO	InBIO Barcoding Initiative	PLT.0605		Miguel Porto;Rodrigo Andrade		CC_BY_4_0	Research Center in Biodiversity and Genetic Resources	Joana Paupério;João Queirós;Ricardo Pita;Hélia Gonçalves;Miguel Porto			2026-03-02T21:14:04.354Z		COORDINATE_ROUNDED;RECORDED_DATE_MISMATCH;INSTITUTION_MATCH_NONE
4509678171	e0737b6f-8e8b-4ea5-aad4-b905a79a86ae	856CF82E-984E-46D1-B6BB-0BF56B86F760	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus sylvestris	sylvestris	VARIETY	Malus sylvestris var. sylvestris	Malus sylvestris (L.) Mill. var. sylvestris	(L.) Mill.	ES	Bertizarana; Bértiz	Navarra	PRESENT		6f3ccc65-0a54-4e65-ae7e-13b92d618e7c	43.1702	-1.6058	500.0						1880-05-08	8	5	1880	7219723	3001509	PRESERVED_SPECIMEN	BC	BC-Tremols	BC-Tremols-956680				CC_BY_NC_4_0		Lacoizqueta, José Maria de			2026-03-03T00:43:47.674Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE
